资产ID,评分,资产域,原路径,目录名,总大小_GB,文件数量,最近修改时间,主要内容,建议保留范围,建议排除范围,是否需要拆分上传,建议夸克路径,是否进入OS,处理方式,理由,备注
D033,S,05_personal,/mnt/c/Users/Administrator/.ssh/,SSH 目录 (含私钥),0.001,8,2025-11-21,SSH 私钥 + 公钥 + known_hosts,*.pub known_hosts,id_rsa *.pem,否,_quarantine/SSH/,否,隔离 加密,S 敏感,绝不上传
D034,A,03_code,/mnt/k/2_work/win_download/logic_multichannel_bundle_v2/,NSNet logic bundle v2,0.2,50,2026-03-23,NSNet + logic bundle,src/,,否,02_科研项目与代码/nsnet_logic_bundle_v2/,否,rsync,A,
D035,A,02_papers,/mnt/k/2_work/win_download/6-5审稿/,6-5审稿,0.05,30,2026-06-07,审稿过程包,11-tii2/ 8-tii-fromqin/,,否,01_毕业论文与学位材料/发表小论文/审稿过程/,否,rsync,A,
D036,B,02_papers,/mnt/k/2_work/win_download/论文文献更新包_20260325_v3/,论文文献更新包 v3,0.2,50,2026-03-25,文献更新包,guidelines/ 文献PDF,,否,01_毕业论文与学位材料/参考文献库/更新包/,否,rsync,B,
D037,C,01_thesis,/mnt/d/paper_worktree/,paper_worktree,0.5,80,2026-04-01,paper worktree,,全部,否,01_毕业论文与学位材料/paper_worktree/,否,可选,C,可选
D038,S,05_personal,/mnt/c/Users/Administrator/AppData/Local/Microsoft/Credentials/,Windows Vault,0.001,20,2026-06-08,Windows 凭据管理器,,全部,否,_quarantine/WindowsVault/,否,隔离 加密,S 敏感,绝不上传
D039,S,05_personal,/mnt/c/Users/Administrator/.codex/,Codex 配置,0.005,10,2026-06-01,Codex CLI 配置 + auth,,auth.json sandbox-secrets,否,_quarantine/Codex/,否,隔离,S 敏感,绝不上传
D040,C,03_code,/mnt/k/2_work/7_12Moe/IFfigs/,7_12Moe IFfigs,0.05,100,2025-12-21,IF 图素材,素材/,,否,02_科研项目与代码/7_12Moe/IFfigs/,否,rsync,C,
D041,A,02_papers,/mnt/d/drive/OneDrive - mails.tsinghua.edu.cn/_博科研_Richie/10.project/1_DSN/7_FD会议TII/,TII_TON 项目源,1.0,200,2023-12-25,TII TON 项目,1、重投/ 3_final/,,是,01_毕业论文与学位材料/发表小论文/TII_TON_项目源/,否,rsync,A,
D042,B,03_code,/mnt/k/2_work/win_download/nsnet_logic_bundle/,nsnet logic bundle,0.2,50,2026-03-23,NSNet logic bundle,01_source_code/,,否,02_科研项目与代码/nsnet_logic_bundle/,否,rsync,B,
D043,B,03_code,/mnt/d/code/study/,d_code study,0.2,30,2026-03-10,学习参考代码,Probabilistic_RUL_*/ Stacked-DCNN-*/,data/,否,02_科研项目与代码/学习参考/,否,rsync 排除,B,
D044,S,06_os,/mnt/c/Users/Administrator/.agents/skills/,全局 skills 库,0.02,100,2026-06-08,53 个 Codex skill,全部,,否,06_知识系统与自蒸馏OS/全局skills库/,是,rsync,S,
D045,S,06_os,/home/richie_thu/project_report/,project_report,0.0001,5,2026-06-08,WSL 主目录盘点,全部,,否,06_知识系统与自蒸馏OS/project_report/,是,rsync,S,
D046,S,01_thesis,/mnt/d/paper/thesis/_reviewer_pro/,_reviewer_pro,0.003,50,2026-06-04,审稿意见 + 对应修改,全部,,否,01_毕业论文与学位材料/审稿打磨/,是,rsync,S,
D047,S,01_thesis,/mnt/d/paper/thesis/data/,thesis data,0.002,10,2026-06-04,chap01-7.tex + abstract.tex,全部,*.aux *.log,否,01_毕业论文与学位材料/02_LaTeX源码/,是,rsync,S,
D048,S,06_os,/mnt/k/2_work/LQQL_OS/.agents/skills/,canonical_skills,0.0025,100,2026-06-07,18 个 canonical skill,全部,,否,06_知识系统与自蒸馏OS/canonical_skills/,是,rsync,S,
D049,A,06_os,/mnt/k/2_work/LQQL_OS/lqql_06_工作与项目/03_论文流水线/R00-phmfactory/,R00-phmfactory,6.4,2000,2026-05-10,phmfactory 代码仓库,src/ dev/ data/,checkpoints/ .env,是,06_知识系统与自蒸馏OS/论文流水线/R00-phmfactory/,否,rsync 排除,A,
D050,A,06_os,/mnt/k/2_work/LQQL_OS/lqql_06_工作与项目/03_论文流水线/P03_nesy_phm_review/,P03_nesy_phm_review,0.328,200,2026-05-20,神经符号 PHM 综述,paper/ ref/ specs/,,否,06_知识系统与自蒸馏OS/论文流水线/P03_nesy_phm_review/,是,rsync,A,
D051,D,08_env,/mnt/d/ProgramData/Quark/,ProgramData Quark,6.0,2000,2026-06-08,夸克程序数据 + videoCache,,videoCache/ 整体,否,,否,不传,软件,可清理
D052,D,08_env,/mnt/c/Users/Administrator/AppData/Local/Steam/,Steam,5.0,5000,2026-06-08,Steam 游戏 + 缓存,,全部,否,,否,不传,游戏,可释放
D053,D,08_env,/mnt/k/$RECYCLE.BIN/,K 回收站,0.5,100,2026-06-08,K 盘回收站,,全部,否,,否,不传,回收站,可清空
D054,D,08_env,/mnt/k/360RecycleBin/,360 回收站,0.5,100,2026-06-08,360 回收站,,全部,否,,否,不传,回收站,可清空
D055,S,05_personal,/mnt/c/Users/Administrator/.gemini/,Gemini Antigravity,0.1,1000,2026-06-08,Antigravity 内嵌 Chromium,,Login Data Web Data,否,_quarantine/,否,隔离,S 敏感,
