评分,原路径,文件名,扩展名,大小,修改时间,建议夸克路径,是否建议进自蒸馏OS,原因,备注
S,/mnt/c/Users/Administrator/AppData/Roaming/Microsoft/Windows/Network Shortcuts/,毕业答辩V6.pptx,pptx,16M,2026-06-02,博士毕业数据总仓库_202606/01_毕业论文与学位材料/答辩PPT/,是,答辩PPT V6(C盘),
S,/mnt/c/Users/Administrator/AppData/Roaming/Microsoft/Windows/Network Shortcuts/,毕业答辩V4.2.pptx,pptx,542K,2026-06-01,博士毕业数据总仓库_202606/01_毕业论文与学位材料/答辩PPT/,是,答辩PPT V4.2(C盘),
S,/mnt/c/Users/Administrator/Downloads/,关于学位论文使用授权的说明（博士硕士通用）.doc,doc,107K,2026-06-04,博士毕业数据总仓库_202606/01_毕业论文与学位材料/学位材料/,是,学位论文授权书,
S,/mnt/c/Users/Administrator/Downloads/,Z-关于学位论文使用授权的说明（博士硕士通用navya.doc,doc,40K,2026-06-05,博士毕业数据总仓库_202606/01_毕业论文与学位材料/学位材料/,是,学位论文授权书(navya版),
S,/mnt/k/2_work/win_download/,答辩后学位论文修改说明_签字版.docx,docx,255K,2026-06-04,博士毕业数据总仓库_202606/01_毕业论文与学位材料/答辩后材料/,是,答辩后修改说明签字版,
S,/mnt/k/2_work/win_download/,thesis_final_submission_pack_v5_final_freeze.zip,zip,5.5M,2026-06-04,博士毕业数据总仓库_202606/01_毕业论文与学位材料/论文最终提交包/,是,论文最终提交包,
S,/mnt/k/申请答辩/,优秀毕业生申请_李奇6.pptx,pptx,27M,2026-06-03,博士毕业数据总仓库_202606/01_毕业论文与学位材料/优秀毕业生/,是,优秀毕业生申请最终版,
S,/mnt/k/申请答辩/,博士论文答辩申请书.docx,docx,28K,2026-05-15,博士毕业数据总仓库_202606/01_毕业论文与学位材料/答辩申请/,是,博士论文答辩申请书,
S,/mnt/d/paper/thesis/LQ/小论文正式版/,"Li 等 - 2024 - Deep expert network...pdf",pdf,-,2024,博士毕业数据总仓库_202606/01_毕业论文与学位材料/发表小论文/,是,DEN论文(TII 2024),
S,/mnt/d/paper/thesis/LQ/小论文正式版/,"Li 等 - 2024 - Transparent operator network...pdf",pdf,-,2024,博士毕业数据总仓库_202606/01_毕业论文与学位材料/发表小论文/,是,TON论文(TII 2024),
S,/mnt/d/paper/thesis/LQ/小论文正式版/,"Li 等 - 2025 - Transparent information fusion network...pdf",pdf,-,2025,博士毕业数据总仓库_202606/01_毕业论文与学位材料/发表小论文/,是,TIFN论文(2025),
S,/mnt/d/paper/thesis/LQ/小论文正式版/,面向机械振动信号的自主信号处理大语言模型智能体.pdf,pdf,-,2025,博士毕业数据总仓库_202606/01_毕业论文与学位材料/发表小论文/,是,Agent论文(第六章),
S,/mnt/k/博士后/进站材料/,进站材料.zip,zip,6.4M,2025-03-03,博士毕业数据总仓库_202606/05_个人行政与证明/博后进站/,是,博后进站全部材料,
S,/mnt/k/,校级业务申请表.doc,doc,45K,-,博士毕业数据总仓库_202606/05_个人行政与证明/行政文件/,是,校级业务申请表,
S,/mnt/k/,离校人员在校期间完成知识产权情况说明.docx,docx,95K,-,博士毕业数据总仓库_202606/05_个人行政与证明/行政文件/,是,知识产权情况说明,
S,/home/richie_thu/Richie1/homepage/,CV_Qi_Li_v2.4.pdf,pdf,288K,2022-09-12,博士毕业数据总仓库_202606/05_个人行政与证明/CV/,是,个人简历,
A,/mnt/d/paper/paper_25_9_vibench/,(整个目录),dir,180M,2026,博士毕业数据总仓库_202606/02_科研项目与代码/vibench论文项目/,是,ViBench论文完整项目,
A,/mnt/k/D01_vibench/,(16个HDF5+metadata),h5,89G,2026,博士毕业数据总仓库_202606/03_实验数据与结果/vibench/,否,PHM振动基准核心数据集(16个数据集),单个最大29GB
A,/mnt/k/yale_data/,(访学全部数据),dir,2.3G,2024,博士毕业数据总仓库_202606/03_实验数据与结果/yale/,否,Yale访学数据,
A,/mnt/c/Users/Administrator/Zotero/,zotero.sqlite,sqlite,285M,2026-06-08,博士毕业数据总仓库_202606/02_科研项目与代码/Zotero/,否,Zotero文献数据库(2977条目),
A,/mnt/d/code/,(整个目录),dir,735M,-,博士毕业数据总仓库_202606/02_科研项目与代码/D_drive_code/,否,科研代码目录,
A,/mnt/d/科研数据/,(DSR等实验数据),dir,398M,-,博士毕业数据总仓库_202606/03_实验数据与结果/D_drive科研数据/,否,DSR实验结果/技术报告,
A,/home/richie_thu/_Richie_project/,(核心科研项目),dir,21G,-,博士毕业数据总仓库_202606/02_科研项目与代码/WSL_Richie_project/,否,WSL核心科研项目,
A,/mnt/k/2_work/7_11ICASSP/,(ICASSP论文),dir,15G,-,博士毕业数据总仓库_202606/02_科研项目与代码/ICASSP/,否,ICASSP论文(Deep Koopman/NSNet),
A,/mnt/k/2_work/TII_TON_archives/,(TII/TON归档),dir,1.3G,-,博士毕业数据总仓库_202606/02_科研项目与代码/TII_TON/,否,TII/TON期刊论文归档,
A,/mnt/k/2_work/7_12Moe/,(MoE实验),dir,12G,-,博士毕业数据总仓库_202606/02_科研项目与代码/MoE/,否,MoE混合专家实验,
A,/mnt/k/2_work/7_13logic/,(神经符号逻辑),dir,5.3G,-,博士毕业数据总仓库_202606/02_科研项目与代码/logic_NSNet/,否,神经符号逻辑推理,
A,/mnt/k/2_work/LQQL_OS/,(知识管理系统),dir,9.2G,-,博士毕业数据总仓库_202606/02_科研项目与代码/LQQL_OS/,否,个人知识管理系统,
A,/mnt/d/drive/OneDrive.../zotero_files/,(Zotero PDF),dir,~10G,-,博士毕业数据总仓库_202606/02_科研项目与代码/zotero文献/,否,OneDrive中的Zotero PDF文献,
A,/mnt/c/Users/Administrator/.gemini/antigravity/code_tracker/active/thesis_979a.../,(thesis tex 8章),tex,多文件,2026-02-27,博士毕业数据总仓库_202606/02_科研项目与代码/thesis_tex/,否,博士论文tex源码(Gemini备份),
A,/mnt/k/2_work/win_download/,INFFUS-D-26-01959.pdf,pdf,85M,-,博士毕业数据总仓库_202606/02_科研项目与代码/在投论文/,否,Information Fusion在审论文,
A,/mnt/k/2_work/win_download/,TII-26-1770_Proof_hi.pdf,pdf,18M,-,博士毕业数据总仓库_202606/02_科研项目与代码/在投论文/,否,TII论文校样,
A,/mnt/k/2_work/win_download/,面上项目-正文-2026_V0303_1-2.docx,docx,95M,-,博士毕业数据总仓库_202606/02_科研项目与代码/基金申请/,否,基金申请书,
