资产ID,评分,资产域,原路径,文件名,扩展名,大小_MB,修改时间,是否存在,是否重复,重复组ID,推荐主版本,版本判断依据,建议夸克路径,是否进入OS,敏感等级,是否需要加密,建议动作,排除理由,备注
A0022,C,06_os,/mnt/k/2_work/LQQL_OS/lqql_06_工作与项目/03_论文流水线/R00-phmfactory/.env/素材/5-4/ref2.md,ref2.md,md,0.13,2026-05-04,是,,,,,博士毕业数据总仓库_202606/06_os/,否,是,是,加密包,,
A0023,C,05_personal,/mnt/k/2_work/TII_TON_archives/figs/1_wave/透明/filters_layer2_scale3_initfc0.117731474339962_initfb0.1733272224664688_finalfc0.1440026611089706final_f_b0.1480765342712402.pdf,filters_layer2_scale3_initfc0.117731474339962_initfb0.1733272224664688_finalfc0.1440026611089706final_f_b0.1480765342712402.pdf,pdf,0.14,2023-10-04,是,,,,,博士毕业数据总仓库_202606/05_personal/,否,否,否,可忽略,,
A0024,C,05_personal,/mnt/k/2_work/7_11ICASSP/Monitor/data/battery/decay_HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_a+timeseries.pdf,decay_HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_a+timeseries.pdf,pdf,0.38,2024-01-03,是,,,,,博士毕业数据总仓库_202606/05_personal/,否,否,否,可忽略,,
A0025,C,02_papers,/mnt/k/2_work/7_12Moe/IFfigs/1_paperfig/figs/素材/case1feature/TSPNtsne_all_models.png,TSPNtsne_all_models.png,png,0.32,2024-04-04,是,,,,,博士毕业数据总仓库_202606/02_papers/,否,否,否,可忽略,,
A0026,C,05_personal,/mnt/k/2_work/7_RL/alphagen-master/tmp/export/SH600745.csv,SH600745.csv,csv,1.26,2023-10-09,是,,,,,博士毕业数据总仓库_202606/05_personal/,否,否,否,可忽略,,
A0027,C,05_personal,/mnt/k/2_work/liki/buffer/缺失为0/0.06592919417380114linear4predition.png,0.06592919417380114linear4predition.png,png,0.53,2020-06-13,是,,,,,博士毕业数据总仓库_202606/05_personal/,否,否,否,可忽略,,
A0028,C,05_personal,/mnt/k/5_other/plot/layer_1_sample_109.png,layer_1_sample_109.png,png,3.41,2024-03-21,是,,,,,博士毕业数据总仓库_202606/05_personal/,否,否,否,可忽略,,
A0029,C,05_personal,/mnt/k/2_work/7_RL/alphagen-master/tmp/export/SH600355.csv,SH600355.csv,csv,0.84,2023-10-09,是,,,,,博士毕业数据总仓库_202606/05_personal/,否,否,否,可忽略,,
A0030,C,05_personal,/mnt/k/2_work/7_RL/alphagen-master/tmp/export/SH603166.csv,SH603166.csv,csv,0.51,2023-10-09,是,,,,,博士毕业数据总仓库_202606/05_personal/,否,否,否,可忽略,,
A0031,B,05_personal,/mnt/k/kingsoft/office6/backup/未命名1.pdf.d36f17f5668ec43225ee608c3fc7bfee.20260603090056563.pdf,未命名1.pdf.d36f17f5668ec43225ee608c3fc7bfee.20260603090056563.pdf,pdf,22.87,2026-06-03,是,,,,,博士毕业数据总仓库_202606/05_personal/,是,否,否,可忽略,,
A0032,C,05_personal,/mnt/k/2_work/7_RL/alphagen-master/tmp/export/SH600116.csv,SH600116.csv,csv,1.49,2023-10-09,是,,,,,博士毕业数据总仓库_202606/05_personal/,否,否,否,可忽略,,
A0033,C,05_personal,/mnt/k/2_work/7_11ICASSP/unsupervised_neuralsymbolic_regression/2_com_bearing_signal_nameU-net_modes100_width128_lr0.001_epoch100_/one_pred22.030288696289062None.png,one_pred22.030288696289062None.png,png,0.11,2023-09-04,是,,,,,博士毕业数据总仓库_202606/05_personal/,否,否,否,可忽略,,
A0034,C,05_personal,/mnt/k/2_work/7_11ICASSP/unsupervised_neuralsymbolic_regression/bearingsimu_nameLSTM_modes100_width512_lr0.001_epoch100_/one_pred3.5350046157836914None.png,one_pred3.5350046157836914None.png,png,0.14,2023-09-04,是,,,,,博士毕业数据总仓库_202606/05_personal/,否,否,否,可忽略,,
A0035,B,05_personal,"/mnt/k/迅雷下载/download/华章数学译丛/华章数学译丛56代数组合论  游动、树、表及其他,（美）理查德P.斯坦利（RichardP.Stanley）著.pdf","华章数学译丛56代数组合论  游动、树、表及其他,（美）理查德P.斯坦利（RichardP.Stanley）著.pdf",pdf,42.76,2023-02-25,是,,,,,博士毕业数据总仓库_202606/05_personal/,是,否,否,可忽略,,
A0036,C,05_personal,/mnt/k/新建文件夹/_Richie_project/U-PHM/新建文件夹/15epoch-train_split_forcasting-pred.csv,15epoch-train_split_forcasting-pred.csv,csv,0.72,2026-03-04,是,,,,,博士毕业数据总仓库_202606/05_personal/,否,否,否,可忽略,,
A0037,C,05_personal,/mnt/k/2_work/7_11ICASSP/unsupervised_neuralsymbolic_regression/chirp_nameFNO_modes100_width1024_lr0.001_epoch10_/新建文件夹/one_pred2.2308056354522705None.png,one_pred2.2308056354522705None.png,png,0.40,2023-09-01,是,,,,,博士毕业数据总仓库_202606/05_personal/,否,否,否,可忽略,,
A0038,C,05_personal,/mnt/k/2_work/7_RL/alphagen-master/tmp/export/SH601512.csv,SH601512.csv,csv,0.21,2023-10-09,是,,,,,博士毕业数据总仓库_202606/05_personal/,否,否,否,可忽略,,
A0039,C,05_personal,/mnt/k/2_work/win_download/figures/4/phm_nature_figures/fig2_structured_phm_output_chain.png,fig2_structured_phm_output_chain.png,png,0.50,2026-05-09,是,,,,,博士毕业数据总仓库_202606/05_personal/,否,否,否,可忽略,,
A0040,C,05_personal,/mnt/k/5_other/Download/202305-758-766.pdf,202305-758-766.pdf,pdf,4.96,2024-09-26,是,,,,,博士毕业数据总仓库_202606/05_personal/,否,否,否,可忽略,,
A0041,C,05_personal,/mnt/k/2_work/7_RL/alphagen-master/tmp/export/SZ002885.csv,SZ002885.csv,csv,0.36,2023-10-09,是,,,,,博士毕业数据总仓库_202606/05_personal/,否,否,否,可忽略,,
A0042,C,05_personal,/mnt/k/2_work/win_download/autoresearch_with_human_draft_v4.pdf,autoresearch_with_human_draft_v4.pdf,pdf,0.26,2026-04-21,是,,,,,博士毕业数据总仓库_202606/05_personal/,否,否,否,可忽略,,
A0043,C,05_personal,/mnt/k/2_work/7_RL/alphagen-master/tmp/export/SH600965.csv,SH600965.csv,csv,1.13,2023-10-09,是,,,,,博士毕业数据总仓库_202606/05_personal/,否,否,否,可忽略,,
A0044,C,05_personal,/mnt/k/2_work/7_RL/alphagen-master/tmp/export/SH600166.csv,SH600166.csv,csv,1.49,2023-10-09,是,,,,,博士毕业数据总仓库_202606/05_personal/,否,否,否,可忽略,,
A0045,C,05_personal,/mnt/k/2_work/7_RL/alphagen-master/tmp/export/SZ002097.csv,SZ002097.csv,csv,0.99,2023-10-09,是,,,,,博士毕业数据总仓库_202606/05_personal/,否,否,否,可忽略,,
A0046,C,05_personal,/mnt/k/2_work/7_RL/alphagen-master/tmp/export/SH603690.csv,SH603690.csv,csv,0.38,2023-10-09,是,,,,,博士毕业数据总仓库_202606/05_personal/,否,否,否,可忽略,,
A0047,C,05_personal,/mnt/k/2_work/7_RL/alphagen-master/tmp/export/SH600366.csv,SH600366.csv,csv,1.36,2023-10-09,是,,,,,博士毕业数据总仓库_202606/05_personal/,否,否,否,可忽略,,
A0048,C,05_personal,/mnt/k/2_work/7_RL/alphagen-master/tmp/export/SH600383.csv,SH600383.csv,csv,1.33,2023-10-09,是,,,,,博士毕业数据总仓库_202606/05_personal/,否,否,否,可忽略,,
A0049,C,05_personal,/mnt/k/2_work/7_RL/alphagen-master/tmp/export/SH600488.csv,SH600488.csv,csv,1.30,2023-10-09,是,,,,,博士毕业数据总仓库_202606/05_personal/,否,否,否,可忽略,,
A0050,C,05_personal,/mnt/k/2_work/7_RL/alphagen-master/tmp/export/SH600715.csv,SH600715.csv,csv,1.41,2023-10-09,是,,,,,博士毕业数据总仓库_202606/05_personal/,否,否,否,可忽略,,
A0051,C,05_personal,/mnt/k/2_work/win_download/rudder_final_integrated_latex_report_package (2)/rudder_final_integrated_latex_report_package/figures/fig_7_2_outlier_score_timeline.png,fig_7_2_outlier_score_timeline.png,png,0.29,2026-05-06,是,,,,,博士毕业数据总仓库_202606/05_personal/,否,否,否,可忽略,,
A0052,C,05_personal,/mnt/d/drive/OneDrive - mails.tsinghua.edu.cn/_博科研_Richie/998 电池/AIR服务器转移/battery_forcaster/results/TL1_MRNN_DUL_ftM_sl32_ll16_pl16_cfTrue_0/pred_result/12st_plot.png,12st_plot.png,png,0.20,2022-08-28,是,,,,,博士毕业数据总仓库_202606/05_personal/,否,否,否,可忽略,,
A0053,C,05_personal,/mnt/d/360MoveData/Users/Administrator/Documents/Tencent Files/350141050/Image/Group2/R_/[P/R_[PVO}`_S)FL$FSWRB[347.jpg,R_[PVO}`_S)FL$FSWRB[347.jpg,jpg,0.19,2023-02-25,是,,,,,博士毕业数据总仓库_202606/05_personal/,否,否,否,可忽略,,
A0054,C,05_personal,/mnt/d/360MoveData/Users/Administrator/Documents/Tencent Files/350141050/Image/Group2/@5/ND/@5NDIMRF~6ZISDR6XRVHH}1.jpg,@5NDIMRF~6ZISDR6XRVHH}1.jpg,jpg,0.34,2023-05-01,是,,,,,博士毕业数据总仓库_202606/05_personal/,否,否,否,可忽略,,
A0055,C,05_personal,/mnt/d/drive/OneDrive - mails.tsinghua.edu.cn/_博科研_Richie/998 电池/AIR服务器转移/battery_forcaster/results/testMLSTM_DCALCE_ftM_sl32_ll16_pl16_cfFalse_0/pred_result/1st_plot.png,1st_plot.png,png,0.18,2022-08-28,是,,,,,博士毕业数据总仓库_202606/05_personal/,否,否,否,可忽略,,
A0056,C,04_data,/mnt/d/drive/OneDrive - mails.tsinghua.edu.cn/_博科研_Richie/998 电池/AIR服务器转移/battery-with-AI/code/RUL/datasets/CALCE/CS2_35/CS2_35_9_21_10.xlsx,CS2_35_9_21_10.xlsx,xlsx,2.61,2022-08-28,是,,,,,博士毕业数据总仓库_202606/04_data/,否,否,否,可忽略,,
A0057,C,05_personal,/mnt/d/drive/OneDrive - mails.tsinghua.edu.cn/_博科研_Richie/10.project/past/Deep neurosymbolic network.docx,Deep neurosymbolic network.docx,docx,3.17,2023-01-18,是,,,,,博士毕业数据总仓库_202606/05_personal/,否,否,否,可忽略,,
A0058,B,05_personal,/mnt/d/drive/OneDrive - mails.tsinghua.edu.cn/_博学习_Richie/教材/数理/高数/高等数学 第7版 上册 同济大学.pdf,高等数学 第7版 上册 同济大学.pdf,pdf,55.23,2017-02-18,是,,,,,博士毕业数据总仓库_202606/05_personal/,是,否,否,可忽略,,
A0059,C,05_personal,/mnt/d/360MoveData/Users/Administrator/Documents/Tencent Files/350141050/Image/Group2/@5/`{/@5`{$@{(FI6P20EGUGTEKXW.png,@5`{$@{(FI6P20EGUGTEKXW.png,png,0.61,2023-02-26,是,,,,,博士毕业数据总仓库_202606/05_personal/,否,否,否,可忽略,,
A0060,C,05_personal,/mnt/d/360MoveData/Users/Administrator/Documents/Tencent Files/350141050/Image/C2C/C2457A8E7C543AD535AC95EDBB9E6F51.jpg,C2457A8E7C543AD535AC95EDBB9E6F51.jpg,jpg,0.21,2022-09-10,是,,,,,博士毕业数据总仓库_202606/05_personal/,否,否,否,可忽略,,
A0061,C,05_personal,/mnt/d/drive/OneDrive - mails.tsinghua.edu.cn/zotero_files/files/1. PHM/1.1 机理/1.1.4 PINN/von Hahn和Mechefske - 2022 - Knowledge informed machine learning using a weibull-based loss function.pdf,von Hahn和Mechefske - 2022 - Knowledge informed machine learning using a weibull-based loss function.pdf,pdf,3.50,2022-10-24,是,,,,,博士毕业数据总仓库_202606/05_personal/,否,否,否,可忽略,,
A0062,C,05_personal,/mnt/d/360MoveData/Users/Administrator/Documents/Tencent Files/350141050/Image/Group2/_~/U6/_~U6@NQ)@H5E)UPMB@CX_UB.png,_~U6@NQ)@H5E)UPMB@CX_UB.png,png,0.33,2023-02-24,是,,,,,博士毕业数据总仓库_202606/05_personal/,否,否,否,可忽略,,
A0063,C,05_personal,/mnt/d/360MoveData/Users/Administrator/Documents/Tencent Files/350141050/Image/Group2/YH/CH/YHCH{M(5@]$Q{XZ]{RE_T)O.jpg,YHCH{M(5@]$Q{XZ]{RE_T)O.jpg,jpg,0.16,2023-02-24,是,,,,,博士毕业数据总仓库_202606/05_personal/,否,否,否,可忽略,,
A0064,B,05_personal,/mnt/d/drive/OneDrive - mails.tsinghua.edu.cn/zotero_files/files/Mendeley Library Export - 周六 7月 23 124519 2022/基于GPS数据的交通速度估计及短时预测研究2.pdf,基于GPS数据的交通速度估计及短时预测研究2.pdf,pdf,34.40,2022-08-21,是,,,,,博士毕业数据总仓库_202606/05_personal/,是,否,否,可忽略,,
A0065,C,05_personal,/mnt/d/drive/OneDrive - mails.tsinghua.edu.cn/zotero_files/zotero_storage/IR6VGQX8/Zhang 等 - 2021 - Health assessment for railway switch systems.pdf,Zhang 等 - 2021 - Health assessment for railway switch systems.pdf,pdf,0.46,2023-07-17,是,,,,,博士毕业数据总仓库_202606/05_personal/,否,否,否,可忽略,,
A0066,C,05_personal,"/mnt/d/drive/OneDrive - mails.tsinghua.edu.cn/zotero_files/zotero_storage/DPVEFB3K/Monga 等。 - 2021 - Algorithm Unrolling Interpretable, Efficient Deep.pdf","Monga 等。 - 2021 - Algorithm Unrolling Interpretable, Efficient Deep.pdf",pdf,3.09,2022-10-06,是,,,,,博士毕业数据总仓库_202606/05_personal/,否,否,否,可忽略,,
A0067,C,05_personal,/mnt/d/drive/OneDrive - mails.tsinghua.edu.cn/_博科研_Richie/998 电池/AIR服务器转移/battery_forcaster/results/TL0_MRNN_DSNL_NCA_ftM_sl20_ll4_pl16_cfTrue_0/pred_result/1st_plot.png,1st_plot.png,png,0.21,2022-08-28,是,,,,,博士毕业数据总仓库_202606/05_personal/,否,否,否,可忽略,,
A0068,C,05_personal,/mnt/d/drive/OneDrive - mails.tsinghua.edu.cn/_博工作_Richie/未来学者/研究方向 智能监测与诊断技术2.pdf,研究方向 智能监测与诊断技术2.pdf,pdf,1.28,2022-04-10,是,,,,,博士毕业数据总仓库_202606/05_personal/,否,否,否,可忽略,,
A0069,C,05_personal,/mnt/d/drive/OneDrive - mails.tsinghua.edu.cn/zotero_files/zotero_storage/UJ6W57DR/Wang 等 - 2020 - Turnout Health Assessment Based on Dynamic Time Wa.pdf,Wang 等 - 2020 - Turnout Health Assessment Based on Dynamic Time Wa.pdf,pdf,0.46,2023-07-25,是,,,,,博士毕业数据总仓库_202606/05_personal/,否,否,否,可忽略,,
A0070,C,04_data,/mnt/d/drive/OneDrive - mails.tsinghua.edu.cn/_博科研_Richie/998 电池/代码/deng iscience/datasets/SNL_18650_NCA_15C_0-100_0.5-2C_a_timeseries.csv,SNL_18650_NCA_15C_0-100_0.5-2C_a_timeseries.csv,csv,7.88,2021-05-09,是,,,,,博士毕业数据总仓库_202606/04_data/,否,否,否,可忽略,,
A0071,C,04_data,/mnt/d/drive/OneDrive - mails.tsinghua.edu.cn/_博科研_Richie/998 电池/AIR服务器转移/battery-with-AI/code/RUL/datasets/CALCE/CS2_36/CS2_36_9_7_10.xlsx,CS2_36_9_7_10.xlsx,xlsx,2.39,2022-08-28,是,,,,,博士毕业数据总仓库_202606/04_data/,否,否,否,可忽略,,
A0072,C,05_personal,/mnt/d/360MoveData/Users/Administrator/Documents/Tencent Files/350141050/Image/Group2/@]/1J/@]1JX_0W_E4L10BFX6DVGDA.jpg,@]1JX_0W_E4L10BFX6DVGDA.jpg,jpg,0.56,2023-02-27,是,,,,,博士毕业数据总仓库_202606/05_personal/,否,否,否,可忽略,,
A0073,C,05_personal,/mnt/d/drive/OneDrive - mails.tsinghua.edu.cn/_博科研_Richie/998 电池/AIR服务器转移/battery_forcaster/results/TL1_MLSTM_DHNEI_ftM_sl32_ll16_pl16_cfTrue_0/pred_result/2st_plot.png,2st_plot.png,png,0.18,2022-08-28,是,,,,,博士毕业数据总仓库_202606/05_personal/,否,否,否,可忽略,,
A0074,C,05_personal,/mnt/d/drive/OneDrive - mails.tsinghua.edu.cn/_博科研_Richie/999 其他/ADIG归档/润色对比/(ADIG)V2.4-KGS-edit1CLEAN.doc,(ADIG)V2.4-KGS-edit1CLEAN.doc,doc,0.37,2020-11-21,是,,,,,博士毕业数据总仓库_202606/05_personal/,否,否,否,可忽略,,
A0075,C,05_personal,/mnt/d/360MoveData/Users/Administrator/Documents/Tencent Files/350141050/Image/Group2/5C/NC/5CNCH2EADUVSV2B]L]1{_UF.png,5CNCH2EADUVSV2B]L]1{_UF.png,png,0.75,2023-02-26,是,,,,,博士毕业数据总仓库_202606/05_personal/,否,否,否,可忽略,,
A0076,C,05_personal,/mnt/d/drive/OneDrive - mails.tsinghua.edu.cn/_博生活_Richie/照片/QL/23年QL来北京/2 圆明园/img_v2_fcb45ffd-81c4-4a07-912e-5de4d2b2427g.jpg,img_v2_fcb45ffd-81c4-4a07-912e-5de4d2b2427g.jpg,jpg,4.10,2023-02-18,是,,,,,博士毕业数据总仓库_202606/05_personal/,否,否,否,可忽略,,
A0077,C,05_personal,/mnt/d/drive/OneDrive - mails.tsinghua.edu.cn/zotero_files/files/2. AI/2.2 时序分析/Nie et al_2022_A Time Series is Worth 64 Words.pdf,Nie et al_2022_A Time Series is Worth 64 Words.pdf,pdf,3.84,2023-03-02,是,,,,,博士毕业数据总仓库_202606/05_personal/,否,否,否,可忽略,,
A0078,C,05_personal,/mnt/d/drive/OneDrive - mails.tsinghua.edu.cn/zotero_files/files/Gallego et al_2022_Fast Kernel Density Estimation with Density Matrices and Random Fourier Features.pdf,Gallego et al_2022_Fast Kernel Density Estimation with Density Matrices and Random Fourier Features.pdf,pdf,1.95,2023-07-24,是,,,,,博士毕业数据总仓库_202606/05_personal/,否,否,否,可忽略,,
A0079,C,05_personal,/mnt/d/drive/OneDrive - mails.tsinghua.edu.cn/_博生活_Richie/李奇毕业资料/5、文献/Energy/Che et al._2022_State of health prognostics for series battery packs A universal deep learning method_Energy.pdf,Che et al._2022_State of health prognostics for series battery packs A universal deep learning method_Energy.pdf,pdf,4.37,2022-04-26,是,,,,,博士毕业数据总仓库_202606/05_personal/,否,否,否,可忽略,,
A0080,C,05_personal,/mnt/d/drive/OneDrive - mails.tsinghua.edu.cn/_博科研_Richie/998 电池/AIR服务器转移/battery_forcaster/results/TL1_MGRU_DHNEI_ftM_sl32_ll16_pl16_cfTrue_0/pred_result/11st_plot.png,11st_plot.png,png,0.20,2022-08-28,是,,,,,博士毕业数据总仓库_202606/05_personal/,否,否,否,可忽略,,
A0081,C,05_personal,/mnt/d/vscode/homepage/CV_Qi_Li_v2.4.pdf,CV_Qi_Li_v2.4.pdf,pdf,0.28,2022-09-12,是,,,,,博士毕业数据总仓库_202606/05_personal/,否,否,否,可忽略,,
A0082,C,05_personal,/mnt/d/drive/OneDrive - mails.tsinghua.edu.cn/_博科研_Richie/998 电池/AIR服务器转移/battery_forcaster/results/testMRNN_DCALCE_ftM_sl32_ll16_pl16_cfTrue_0/pred_result/2st_plot.png,2st_plot.png,png,0.22,2022-08-28,是,,,,,博士毕业数据总仓库_202606/05_personal/,否,否,否,可忽略,,
A0083,C,05_personal,/mnt/d/360MoveData/Users/Administrator/Documents/Tencent Files/350141050/Image/Group2/{3/O_/{3O_12RNJL0PW8VLL)VIU[V.png,{3O_12RNJL0PW8VLL)VIU[V.png,png,3.32,2023-02-26,是,,,,,博士毕业数据总仓库_202606/05_personal/,否,否,否,可忽略,,
A0084,C,05_personal,/mnt/d/drive/OneDrive - mails.tsinghua.edu.cn/_博科研_Richie/998 电池/AIR服务器转移/battery-with-AI/code/Digital-Twin-in-python/digitalTwin_Li_ION.ipynb,digitalTwin_Li_ION.ipynb,ipynb,0.20,2022-08-28,是,,,,,博士毕业数据总仓库_202606/05_personal/,否,否,否,可忽略,,
A0085,C,02_papers,/mnt/d/paper_worktree/ref/refs.bib,refs.bib,bib,1.16,2026-02-27,是,,,,,博士毕业数据总仓库_202606/02_papers/,否,否,否,可忽略,,
A0086,C,05_personal,/mnt/d/drive/OneDrive - mails.tsinghua.edu.cn/_博科研_Richie/998 电池/AIR服务器转移/battery_forcaster/results/TL1_MGRU_DCALCE_ftM_sl32_ll16_pl16_cfTrue_0/pred_result/5st_plot.png,5st_plot.png,png,0.19,2022-08-28,是,,,,,博士毕业数据总仓库_202606/05_personal/,否,否,否,可忽略,,
A0087,C,05_personal,/home/richie_thu/_Richie_project/Deep symbolic net/fault diagnosis/save_dir2/_name:~THU10 4.3sectionprune32/0.0013output.csv,0.0013output.csv,csv,0.10,2023-01-04,是,,,,,博士毕业数据总仓库_202606/05_personal/,否,否,否,可忽略,,
A0088,C,04_data,/home/richie_thu/_Richie_project/U-PHM/model/FEMTO-STUGA_past/30epoch-modelUGA-datasetFEMTO-ST2-test-pred2.csv,30epoch-modelUGA-datasetFEMTO-ST2-test-pred2.csv,csv,0.16,2023-05-16,是,,,,,博士毕业数据总仓库_202606/04_data/,否,否,否,可忽略,,
A0089,C,05_personal,/home/richie_thu/_Richie_project/U-PHM/plot_dir/past/21epoch-train_split_forcasting-true2.csv,21epoch-train_split_forcasting-true2.csv,csv,0.69,2023-04-26,是,,,,,博士毕业数据总仓库_202606/05_personal/,否,否,否,可忽略,,
A0090,C,05_personal,/home/richie_thu/_Richie_project/U-PHM/plot/motor.xlsx,motor.xlsx,xlsx,0.17,2024-10-10,是,,,,,博士毕业数据总仓库_202606/05_personal/,否,否,否,可忽略,,
A0091,C,04_data,/home/richie_thu/_Richie_project/U-PHM/model/XJTUUGA1/5epoch-modelUGA-datasetXJTU0-test-pred.csv,5epoch-modelUGA-datasetXJTU0-test-pred.csv,csv,0.36,2023-06-21,是,,,,,博士毕业数据总仓库_202606/04_data/,否,否,否,可忽略,,
A0092,C,04_data,/home/richie_thu/_Richie_project/U-PHM/model/FEMTO-STUGA123-nogf/2epoch-modelUGA-datasetFEMTO-ST2-test-true2.csv,2epoch-modelUGA-datasetFEMTO-ST2-test-true2.csv,csv,0.69,2023-06-24,是,,,,,博士毕业数据总仓库_202606/04_data/,否,否,否,可忽略,,
A0093,C,05_personal,/home/richie_thu/_Richie_project/Deep symbolic net/fault diagnosis/plot_dir2/THU/9/channel_16signal9all.png,channel_16signal9all.png,png,0.14,2023-11-15,是,,,,,博士毕业数据总仓库_202606/05_personal/,否,否,否,可忽略,,
