src_path,dst_path_quark,size_bytes,score,domain,os_card,notes
"/mnt/d/drive/OneDrive - mails.tsinghua.edu.cn/_博科研_Richie/10.project/1_DSN/7_FD会议TII/","博士毕业数据总仓库_202606/01_毕业论文与学位材料/发表小论文/TII_TON_项目源/",1000000000,A,02_papers,012,TII TON项目源含重投版本
"/mnt/d/drive/OneDrive - mails.tsinghua.edu.cn/zotero_files/","博士毕业数据总仓库_202606/01_毕业论文与学位材料/参考文献库/zotero_files/",5000000000,B,02_papers,012,Zotero files Onedrive
"/mnt/k/博士后/进站材料.zip","博士毕业数据总仓库_202606/05_个人行政与证明/博后进站/zip备份/",25000000,B,05_personal,005,进站材料zip备份
"/mnt/k/2_work/win_download/6-5审稿/","博士毕业数据总仓库_202606/01_毕业论文与学位材料/发表小论文/审稿过程/",50000000,A,02_papers,012,审稿过程包
"/mnt/k/5_other/Download/a_feishu/","博士毕业数据总仓库_202606/01_毕业论文与学位材料/飞书版本归档/",300000000,B,02_papers,012,飞书版本归档
"/mnt/d/paper/thesis/定稿/","博士毕业数据总仓库_202606/01_毕业论文与学位材料/博士论文定稿/全集/",100000000,A,01_thesis,013,定稿全集
"/mnt/k/2_work/LQQL_OS/lqql_06_工作与项目/03_论文流水线/P03_nesy_phm_review/","博士毕业数据总仓库_202606/06_知识系统与自蒸馏OS/论文流水线/P03_nesy_phm_review/",328000000,A,06_os,017,神经符号PHM综述
"/mnt/k/2_work/LQQL_OS/lqql_06_工作与项目/03_论文流水线/R00-phmfactory/","博士毕业数据总仓库_202606/06_知识系统与自蒸馏OS/论文流水线/R00-phmfactory/",6400000000,A,06_os,016,phmfactory代码仓库
"/mnt/k/申请答辩/博士论文评阅意见汇总.docx","博士毕业数据总仓库_202606/07_答辩申请/评阅意见/",1000000,A,01_thesis,011,评阅意见汇总
"/mnt/k/3.18/视频*.mp4","博士毕业数据总仓库_202606/01_毕业论文与学位材料/答辩录像/补充视频/",500000000,B,07_media,007,补充视频
"/mnt/k/2_work/win_download/论文文献更新包_20260325_v3/","博士毕业数据总仓库_202606/01_毕业论文与学位材料/参考文献库/更新包/",200000000,B,02_papers,012,文献更新包v3
