src_path,type,risk_level,action,encrypt_required,notes
"/mnt/c/Users/Administrator/.gemini/antigravity-browser-profile/Default/Login Data",Chromium密码,高,绝不上传,是,DPAPI加密
"/mnt/c/Users/Administrator/.gemini/antigravity-browser-profile/Default/Web Data",Chromium表单,高,绝不上传,是,自动填充信息
"/mnt/c/Users/Administrator/AppData/Local/Microsoft/Credentials/*",Windows Vault,高,绝不上传,是,20+ RDP/网络凭据
"/mnt/c/Users/Administrator/AppData/Local/Quark/User Data/Default/Login Data",Quark密码,高,绝不上传,是,夸克浏览器密码
"/mnt/c/Users/Administrator/AppData/Local/Quark/User Data/Default/Network/Cookies",Quark Cookies,高,绝不上传,是,夸克网盘session
"/mnt/c/Users/Administrator/AppData/Local/bigjpg/User Data/Default/Login Data",bigjpg密码,中,绝不上传,是,bigjpg密码
"/mnt/c/Users/Administrator/AppData/Local/Steam/htmlcache/Default/Login Data",Steam密码,中,绝不上传,是,Steam密码
"/mnt/d/drive/OneDrive - mails.tsinghua.edu.cn/_博工作_Richie/999 博士入学/1. 入学文件/李奇 身份证.pdf",身份证,高,加密包,是,身份证主版本
"/mnt/d/drive/OneDrive - mails.tsinghua.edu.cn/_博工作_Richie/999 博士入学/1. 入学文件/李奇 身份证.png",身份证,高,加密包,是,身份证PNG
"/mnt/d/drive/OneDrive - mails.tsinghua.edu.cn/_博工作_Richie/999 博士入学/1. 入学文件/身份证.jpg",身份证,高,加密包,是,身份证历史版本
"/mnt/k/博士后/进站材料/*户口本*.pdf",户口本,高,加密包,是,户口本扫描件
"/mnt/k/博士后/进站材料/*学生证*.pdf",学生证,中,加密包,是,学生证扫描
"/mnt/k/博士后/进站材料/*学位证*.pdf",学位证,中,加密包,是,学位证
"/mnt/k/博士后/进站材料/*毕业证*.pdf",毕业证,中,加密包,是,毕业证
"/mnt/k/博士后/进站材料/*成绩单*.pdf",成绩单,中,加密包,是,成绩单
"/mnt/k/申请答辩/*签字*.pdf",电子签名,高,加密包,是,王老师签字
"/mnt/k/2_work/win_download/*银行流水*.pdf",财务凭证,高,加密包,是,银行流水
"/mnt/k/2_work/win_download/*支付宝*.pdf",财务凭证,高,加密包,是,支付宝账单
"/mnt/k/2_work/win_download/*微信*.pdf",财务凭证,高,加密包,是,微信账单
"/mnt/d/drive/OneDrive - mails.tsinghua.edu.cn/_博工作_Richie/999 博士入学/*入学文件*",证件扫描,高,加密包,是,博士入学整套
"/mnt/d/paper/thesis/LQ/李奇_签名*.png",电子签名,中,加密包,是,个人签名图
"/mnt/c/Users/Administrator/.kube/config",K8s凭证,中,绝不上传,否,可能存在K8s配置
